,위도,경도,문화생활,판매시설,음식점,임대면적,보증금,임대료,문화생활_sc,판매시설_sc,음식점_sc,건강_sc,카페_sc,편의시설_sc,반려동물_sc,대중교통_sc,의료시설_sc,공공기관_sc,오락시설_sc,주소,법정동,URL_NUM
57,37.581976,126.999239,288,14,605,39,4000,85,0.5154264972776769,0.11475409836065574,0.6801801801801801,0.4827586206896552,0.6294536817102138,0.3333333333333333,0.3023255813953488,0.14705882352941177,0.08016032064128256,0.3,0.4406779661016949,서울 종로구 명륜4가 154-16,명륜4가,2203012176
58,37.585834,126.985196,140,4,40,355,0,1000,0.2468239564428312,0.03278688524590164,0.043918918918918914,0.08620689655172414,0.18289786223277912,0.0,0.0755813953488372,0.0,0.028056112224448898,0.13333333333333333,0.0,서울 종로구 가회동 1-216,가회동,2203004304
59,37.572013,127.016695,134,45,226,38,1000,70,0.23593466424682394,0.36885245901639346,0.2533783783783784,0.32758620689655177,0.16864608076009502,0.5333333333333333,0.7616279069767441,0.47058823529411764,0.47695390781563124,0.4,0.3898305084745763,서울 종로구 숭인동 317-29,숭인동,2203013305
60,37.58322,126.969275,99,20,88,45,2000,60,0.17241379310344826,0.1639344262295082,0.09797297297297297,0.017241379310344827,0.2304038004750594,0.13333333333333333,0.12209302325581395,0.0,0.060120240480961915,0.5,0.03389830508474576,서울 종로구 신교동 17-13,신교동,2202930896
61,37.59061,126.993045,61,7,46,38,12000,30,0.10344827586206896,0.05737704918032787,0.05067567567567567,0.12068965517241378,0.05938242280285036,0.06666666666666667,0.12209302325581395,0.0,0.03206412825651302,0.13333333333333333,0.0847457627118644,서울 종로구 명륜3가 1-1074,명륜3가,2202421664
62,37.584098,126.999256,282,16,707,41,2000,110,0.5045372050816697,0.13114754098360656,0.795045045045045,0.37931034482758624,0.6104513064133017,0.4,0.32558139534883723,0.14705882352941177,0.0781563126252505,0.23333333333333334,0.5423728813559322,서울 종로구 명륜2가 8-23,명륜2가,2202895452
63,37.580774,127.013455,133,11,24,100,20000,100,0.23411978221415605,0.09016393442622951,0.025900900900900903,0.4482758620689655,0.04513064133016627,0.2,0.569767441860465,0.14705882352941177,0.18036072144288576,0.6,0.01694915254237288,서울 종로구 창신동 702,창신동,2202801895
64,37.589563,126.993645,94,5,63,39,1000,55,0.16333938294010888,0.04098360655737705,0.06981981981981981,0.10344827586206895,0.05463182897862233,0.4,0.12209302325581395,0.0,0.04809619238476953,0.13333333333333333,0.11864406779661017,서울 종로구 명륜3가 1-151,명륜3가,2202899773
65,37.590089,126.994977,115,8,75,19,2000,25,0.20145190562613427,0.06557377049180328,0.08333333333333333,0.13793103448275862,0.08551068883610452,0.26666666666666666,0.12209302325581395,0.0,0.0501002004008016,0.16666666666666666,0.11864406779661017,서울 종로구 명륜3가 1-905,명륜3가,2202898522
66,37.578168,127.00161,296,13,143,77,10000,100,0.52994555353902,0.10655737704918034,0.15990990990990991,0.603448275862069,0.38004750593824227,0.3333333333333333,0.3953488372093023,0.08823529411764705,0.25250501002004005,0.5,0.05084745762711865,서울 종로구 연건동 131-1,연건동,2202899755
